year,neighbourhood,average_house_value
2001,Agincourt North,200388.0
2001,Agincourt South-Malvern West,203047.0
2001,Alderwood,259998.0
2001,Annex,453850.0
2001,Banbury-Don Mills,371864.0
2001,Bathurst Manor,304749.0
2001,Bay Street Corridor,257404.0
2001,Bayview Village,327644.0
2001,Bayview Woods-Steeles,343535.0
2001,Bedford Park-Nortown,565304.0
2001,Beechborough-Greenbrook,225369.0
2001,Bendale,182957.0
2001,Birchcliffe-Cliffside,265705.0
2001,Black Creek,158483.0
2001,Blake-Jones,310740.0
2001,Briar Hill-Belgravia,222086.0
2001,Bridle Path-Sunnybrook-York Mills,927466.0
2001,Broadview North,269386.0
2001,Brookhaven-Amesbury,213227.0
2001,Cabbagetown-South St.James Town,300213.0
2001,Caledonia-Fairbank,219771.0
2001,Casa Loma,596077.0
2001,Centennial Scarborough,249025.0
2001,Church-Yonge Corridor,246750.0
2001,Clairlea-Birchmount,215421.0
2001,Clanton Park,335119.0
2001,Cliffcrest,253618.0
2001,Corso Italia-Davenport,255142.0
2001,Danforth,283706.0
2001,Danforth-East York,256205.0
2001,Don Valley Village,241824.0
2001,Dorset Park,159187.0
2001,Dovercourt-Wallace Emerson-Juncti,264116.0
2001,Downsview-Roding-CFB,231741.0
2001,Dufferin Grove,278023.0
2001,East End-Danforth,290457.0
2001,Edenbridge-Humber Valley,483734.0
2001,Eglinton East,163419.0
2001,Elms-Old Rexdale,163039.0
2001,Englemount-Lawrence,345676.0
2001,Eringate-Centennial-West Deane,241685.0
2001,Etobicoke West Mall,187993.0
2001,Flemingdon Park,126255.0
2001,Forest Hill North,517466.0
2001,Forest Hill South,726664.0
2001,Glenfield-Jane Heights,199043.0
2001,Greenwood-Coxwell,235168.0
2001,Guildwood,224425.0
2001,Henry Farm,224780.0
2001,High Park North,323536.0
2001,High Park-Swansea,354207.0
2001,Highland Creek,260555.0
2001,Hillcrest Village,240009.0
2001,Humber Heights-Westmount,272896.0
2001,Humber Summit,213919.0
2001,Humbermede,194295.0
2001,Humewood-Cedarvale,423537.0
2001,Ionview,174793.0
2001,Islington-City Centre West,274436.0
2001,Junction Area,263247.0
2001,Keelesdale-Eglinton West,196112.0
2001,Kennedy Park,174518.0
2001,Kensington-Chinatown,267631.0
2001,Kingsview Village-The Westway,205572.0
2001,Kingsway South,512334.0
2001,L'Amoreaux,395115.0
2001,Lambton Baby Point,204523.0
2001,Lansing-Westgate,372579.0
2001,Lawrence Park North,461393.0
2001,Lawrence Park South,664712.0
2001,Leaside-Bennington,489998.0
2001,Little Portugal,328211.0
2001,Long Branch,234424.0
2001,Malvern,156076.0
2001,Maple Leaf,275374.0
2001,Markland Wood,269751.0
2001,Milliken,209609.0
2001,Mimico,239078.0
2001,Morningside,173169.0
2001,Moss Park,248778.0
2001,Mount Dennis,159374.0
2001,Mount Olive-Silverstone-Jamestown,153829.0
2001,Mount Pleasant East,411558.0
2001,Mount Pleasant West,284459.0
2001,New Toronto,247779.0
2001,Newtonbrook East,339987.0
2001,Newtonbrook West,279833.0
2001,Niagara,224801.0
2001,North Riverdale,427169.0
2001,North St.James Town,249993.0
2001,O'Connor-Parkview,181251.0
2001,Oakridge,256556.0
2001,Oakwood Village,268067.0
2001,Old East York,269410.0
2001,Palmerston-Little Italy,378033.0
2001,Parkwoods-Donalda,276239.0
2001,Pelmo Park-Humberlea,246333.0
2001,Playter Estates-Danforth,394235.0
2001,Pleasant View,226856.0
